"codigo";"nombre";"nombre_especifico";"departamento";"unidad_responsable";"ruta";"tipo_actuacion";"tipo_procedimiento";"inicio_tramite";"ambito";"nivel_administrativo";"codigo_sia";"fecha_actualizacion_sia";"fecha_publicacion";"fecha_ultima_modificacion";"familia";"fecha_inicio";"fecha_fin";"observaciones_plazo"
836;"Autorización del uso de instalaciones de edificios educativos por personal externo.";"_U";"Secretaría General Técnica";"Consejería de Educación, Universidades, Cultura y Deportes";"Gobierno de Canarias >> Consejería de Educación, Universidades, Cultura y Deportes >> Secretaría General Técnica >> Dirección Territorial de Educación de Santa Cruz de Tenerife";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220514";"2022-03-10 23:00:22.168";"2022-03-10 11:45:59.844";"10/03/2022 11:45";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
843;"Autorización para la captura de carnada o cebo vivo";"_U";"Dirección General de Pesca";"Consejería de Agricultura, Ganadería y Pesca";"Gobierno de Canarias >> Consejería de Agricultura, Ganadería y Pesca >> Viceconsejería del Sector Primario >> Dirección General de Pesca >> Servicio de Inspección Pesquera";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220909";"2022-02-21 23:00:11.139";"2020-07-09 08:11:53.292";"21/02/2022 12:17";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
844;"Dispensa de estándares por razones de interés turístico acordada por el Gobierno de Canarias";"_U";"Dirección General de Infraestructura Turística";"Consejería de Turismo, Industria y Comercio";"Gobierno de Canarias >> Consejería de Turismo, Industria y Comercio >> Viceconsejería de Turismo >> Dirección General de Infraestructura Turística >> Servicio de Infraestructura Turística";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221386";"2021-03-19 23:00:30.562";"2021-03-19 13:39:28.939";"19/03/2021 13:39";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
845;"Autorización para la celebración de competiciones y campeonatos de pesca marítima de recreo";"_U";"Dirección General de Pesca";"Consejería de Agricultura, Ganadería y Pesca";"Gobierno de Canarias >> Consejería de Agricultura, Ganadería y Pesca >> Viceconsejería del Sector Primario >> Dirección General de Pesca >> Servicio de Inspección Pesquera";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221148";"2022-02-21 23:00:11.139";"2020-07-09 08:15:28.04";"21/02/2022 12:09";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
849;"Autorización, modificación y extinción de apertura y puesta en funcionamiento de centros privados de enseñanzas artísticas";"_U";"Dirección General de Centros, Infraestructura y Promoción Educativa";"Consejería de Educación, Universidades, Cultura y Deportes";"Gobierno de Canarias >> Consejería de Educación, Universidades, Cultura y Deportes >> Viceconsejería de Educación, Universidades y Deportes >> Dirección General de Centros, Infraestructura y Promoción Educativa >> Servicio de Administración de Centros";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 2: Descarga formularios";"220542";"2017-06-13 21:20:52.121";"2015-12-07 16:51:28.921";"13/06/2017 21:05";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
858;"Extinción y suspensión de relaciones de trabajo y reducción de jornada por fuerza mayor";"_U";"Dirección General de Trabajo";"Consejería de Economía, Conocimiento y Empleo";"Gobierno de Canarias >> Consejería de Economía, Conocimiento y Empleo >> Viceconsejería de Empleo >> Dirección General de Trabajo >> Servicio promoción laboral Las Palmas";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221253";"2022-05-04 22:00:21.255";"2022-05-04 13:22:33.763";"04/05/2022 13:22";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
860;"Descalificación y baja de Sociedades Laborales.";"_U";"Servicio Canario de Empleo (SCE)";"Consejería de Economía, Conocimiento y Empleo";"Gobierno de Canarias >> Consejería de Economía, Conocimiento y Empleo >> Servicio Canario de Empleo (SCE) >> Subdirección de Promoción de la Economía Social >> Servicio de Promoción de la Economía Social";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221135";"2022-10-17 22:00:11.796";"2022-10-17 12:26:39.478";"17/10/2022 12:26";"Registros Administrativos";"_Z";"_Z";"_U"
869;"Inscripción de las asociaciones de madres y padres del alumnado, federaciones y confederaciones en el Registro de Asociaciones de la Consejería de Educación, Universidades, Cultura y Deportes.";"_U";"Dirección General de Centros, Infraestructura y Promoción Educativa";"Consejería de Educación, Universidades, Cultura y Deportes";"Gobierno de Canarias >> Consejería de Educación, Universidades, Cultura y Deportes >> Viceconsejería de Educación, Universidades y Deportes >> Dirección General de Centros, Infraestructura y Promoción Educativa >> Servicio acc. compensación educat. y act. ex.";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220984";"2021-11-15 23:00:10.74";"2021-11-15 13:44:09.705";"15/11/2021 13:44";"Registros Administrativos";"_Z";"_Z";"_U"
871;"Reembolso de gastos por asistencia sanitaria urgente, inmediata y de carácter vital que hayan sido atendidos fuera del Sistema Nacional de Salud .";"_U";"Secretaría General del Servicio Canario de la Salud";"Consejería de Sanidad";"Gobierno de Canarias >> Consejería de Sanidad >> Servicio Canario de la Salud (SCS) >> Secretaría General del Servicio Canario de la Salud >> Servicio de Inspección y Prestaciones";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"220615";"2022-04-05 08:40:38.593";"2022-04-05 08:40:33.067";"05/04/2022 08:40";"Prestaciones Sociales y Sanitarias";"_Z";"_Z";"_U"
876;"Expedición de Certificación técnico-sanitaria de los vehículos de transporte sanitario.";"_U";"Servicio Canario de la Salud (SCS)";"Consejería de Sanidad";"Gobierno de Canarias >> Consejería de Sanidad >> Servicio Canario de la Salud (SCS) >> Dirección del Servicio Canario de Salud >> Servicio de Acreditación y Autorización";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221247";"2022-05-25 22:00:09.372";"2022-05-25 08:42:36.976";"25/05/2022 08:42";"Certificaciones";"_Z";"_Z";"_U"
877;"Autorización de cierre de centros, servicios y establecimientos sanitarios";"_U";"Servicio Canario de la Salud (SCS)";"Consejería de Sanidad";"Gobierno de Canarias >> Consejería de Sanidad >> Servicio Canario de la Salud (SCS) >> Dirección del Servicio Canario de Salud >> Servicio de Acreditación y Autorización";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 4: Tramitación electrónica completa";"221149";"2022-04-19 22:00:18.878";"2022-04-19 08:55:15.993";"19/04/2022 08:55";"Autorizaciones, Licencias y Permisos";"_Z";"_Z";"_U"
886;"Aplazamiento del pago del Impuesto sobre Sucesiones y Donaciones en caso de causahabientes desconocidos.";"_U";"Agencia Tributaria Canaria";"Consejería de Hacienda, Presupuestos y Asuntos Europeos";"Gobierno de Canarias >> Consejería de Hacienda, Presupuestos y Asuntos Europeos >> Agencia Tributaria Canaria >> Dirección >> Subdirección Gestión Tributaria >> Dependencia de Tributos Cedidos";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 1: Información";"220708";"2021-06-29 22:00:06.048";"2021-06-29 12:26:30.72";"29/06/2021 12:26";"Gestión Tributaria";"_Z";"_Z";"_U"
887;"Prórroga de los plazos de presentación del Impuesto sobre Sucesiones y Donaciones.";"_U";"Agencia Tributaria Canaria";"Consejería de Hacienda, Presupuestos y Asuntos Europeos";"Gobierno de Canarias >> Consejería de Hacienda, Presupuestos y Asuntos Europeos >> Agencia Tributaria Canaria";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 2: Descarga formularios";"220727";"2021-06-25 22:00:03.033";"2021-06-25 09:29:31.59";"25/06/2021 09:29";"Gestión Tributaria";"_Z";"_Z";"_U"
888;"Fraccionamiento del pago en el Impuesto sobre Transmisiones Patrimoniales y Actos Jurídicos Documentados.";"_U";"Agencia Tributaria Canaria";"Consejería de Hacienda, Presupuestos y Asuntos Europeos";"Gobierno de Canarias >> Consejería de Hacienda, Presupuestos y Asuntos Europeos >> Agencia Tributaria Canaria >> Dirección >> Subdirección Gestión Tributaria >> Dependencia de Tributos Cedidos";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 2: Descarga formularios";"221333";"2021-06-29 22:00:06.048";"2021-06-29 09:17:03.25";"29/06/2021 09:17";"Gestión Tributaria";"_Z";"_Z";"_U"
889;"Devolución de Ingresos indebidos de naturaleza tributaria.";"_U";"Agencia Tributaria Canaria";"Consejería de Hacienda, Presupuestos y Asuntos Europeos";"Gobierno de Canarias >> Consejería de Hacienda, Presupuestos y Asuntos Europeos >> Agencia Tributaria Canaria";"PROCEDIMIENTO";"OTRO_PROCEDIMIENTO";"INTERESADO";"ESPECIFICO";"Nivel 2: Descarga formularios";"220694";"2017-06-13 21:21:30.675";"2016-07-07 08:31:45.824";"13/06/2017 21:06";"Gestión Tributaria";"_Z";"_Z";"_U"
